drugbank_id,drug_name
DB01166,cilostazol
DB01167,itraconazole
DB01168,procarbazine
DB01169,arsenic trioxide
DB01170,guanethidine
DB01171,moclobemide
DB01172,kanamycin
DB01173,orphenadrine
DB01174,phenobarbital
DB01175,escitalopram
DB01176,cyclizine
DB01177,idarubicin
DB01178,chlormezanone
DB01179,podofilox
DB01180,rescinnamine
DB01181,ifosfamide
DB01182,propafenone
DB01183,naloxone
DB01184,domperidone
DB01185,fluoxymesterone
DB01186,pergolide
DB01187,iophendylate
DB01188,ciclopirox
DB01189,desflurane
DB01190,clindamycin
DB01191,dexfenfluramine
DB01192,oxymorphone
DB01193,acebutolol
DB01194,brinzolamide
DB01195,flecainide
DB01196,estramustine
DB01197,captopril
DB01198,zopiclone
DB01199,tubocurarine
DB01200,bromocriptine
DB01201,rifapentine
DB01202,levetiracetam
DB01203,nadolol
DB01204,mitoxantrone
DB01205,flumazenil
DB01206,lomustine
DB01207,ridogrel
DB01208,sparfloxacin
DB01209,dezocine
DB01210,levobunolol
DB01211,clarithromycin
DB01212,ceftriaxone
DB01213,fomepizole
DB01214,metipranolol
DB01215,estazolam
DB01216,finasteride
DB01217,anastrozole
DB01218,halofantrine
DB01219,dantrolene
DB01220,rifaximin
DB01221,ketamine
DB01222,budesonide
DB01223,aminophylline
DB01224,quetiapine
